year,day,task,problem_id,problem_title,image
toi12,0,0,toi12_weakpoint,กำจัดจุดอ่อน,
toi13,0,0,toi13_art,ศิลปะโครมาโทกราฟี (Chromatography Art),
toi13,0,0,toi13_cats,วิฬาร์ (Cats),
toi13,0,0,toi13_orchid,กล้วยไม้ (Orchid),
toi13,0,0,toi13_robot,หุ่นยนต์ (Robot),
toi13,0,0,toi13_timerswitch,สวิตช์เวลา (timer switch),
toi13,0,0,toi13_traveler,การเดินทางโดยประหยัด (Budget Travelling),
toi14,0,0,toi14_blockchain,บล็อกเชน (BLOCKCHAIN),
toi14,0,0,toi14_logistics,โลจิสติกส์ (LOGISTICS),
toi14,0,0,toi14_nbk48,สารคดีออนไลน์ (NBK48),
toi14,0,0,toi14_plantation,สวนต้นไม้ (PLANTATION),
toi14,0,0,toi14_space_1,ภาพถ่ายอวกาศแบบห่วงลึก (SPACE DEEP FIELD IMAGE),
toi14,0,0,toi14_space_2,ภาพถ่ายอวกาศแบบห่วงลึก (SPACE DEEP FIELD IMAGE),
toi14,0,0,toi14_technology,พัฒนาเทคโนโลยี (TECHNOLOGY),
toi15,0,0,toi15_archery,เกาทัณฑ์ประชันแม่น (Archery),
toi15,0,0,toi15_budget,งบประมาณปรับปรุงเส้นทาง (Budget),
toi15,0,0,toi15_cave,ถ้ำเสือศรีราชา (Cave),
toi15,0,0,toi15_fly,ค่ายกลพิฆาตแมลงวัน (Fly),
toi15,0,0,toi15_medal,เหรียญโอลิมปิก (Medal),
toi15,0,0,toi15_minreq,ทันเนอะ (Minimum Load Requirement),
toi16,0,0,toi16_carte,ร้านอาหารตามสั่ง (Carte),
toi16,0,0,toi16_dinocell,เซลล์ไดโน (Dino Cell),
toi16,0,0,toi16_outbreak,ไวรัสโรคระบาด (Outbreak),
toi16,0,0,toi16_packbot,หุ่นยนต์บรรจุสินค้า (PackBot),
toi16,0,0,toi16_watertruck,รถรดน้ำต้นไม้พลังงานไดโน (WaterTruck),
toi16,0,0,toi16_wheel,วงล้อแห่งโชคชะตา (DinoWheel of Destiny),
toi17,0,0,toi17_1221,นครมาเก็ต,
toi17,0,0,toi17_junction,นครสามแพร่ง (T-Junction City),
toi17,0,0,toi17_metaverse_1,แผนที่ตัวกวนป่วนนครจักรวาลนฤมิต (The Marauder's Map of Metaverse City),
toi17,0,0,toi17_metaverse_2,แผนที่ตัวกวนป่วนนครจักรวาลนฤมิต (The Marauder's Map of Metaverse City),
toi17,0,0,toi17_noodle,ขนมจีนนคร (Fermented Rice Noodle),
toi17,0,0,toi17_sequel,กำแพงนคร: ภาคต่อ (The Wall: The Sequel),
toi17,0,0,toi17_wall,กำแพงนคร (The Wall),
toi18,1,1,toi18_mountain,แอ่วม่อน (Mountain),https://github.com/krist7599555/toi/assets/19445033/2caed7c8-5601-4969-9dea-a54da40ceb11
toi18,1,2,toi18_garden,สวนพฤกษศาสตร์ (Botanical Garden),https://github.com/krist7599555/toi/assets/19445033/f49b28cb-9821-4501-a709-921476f11828
toi18,1,3,toi18_constellation,ดารากร (Constellation),https://github.com/krist7599555/toi/assets/19445033/bc0f9415-1d77-493e-835c-7a4dd7f37add
toi18,2,1,toi18_shopping,เชียงใหม่ไน่ทรัพย์ (Shopping),https://github.com/krist7599555/toi/assets/19445033/cab4ce7c-5d38-4118-9553-ee980695a05c
toi18,2,2,toi18_sausage,ไส้อั่วทิพย์ (Sai-ua),https://github.com/krist7599555/toi/assets/19445033/38b4d87c-0304-4d26-90a0-9ddb8706e481
toi18,2,3,toi18_gecko,จั๊กกิ้ม (Gecko),https://github.com/krist7599555/toi/assets/19445033/cee65a0e-a8c1-4cfd-b4aa-e677ef607043
toi19,1,1,toi19_merge,,https://github.com/krist7599555/toi/assets/19445033/23655709-695a-4a82-8d02-c39f97ccf9ac
toi19,1,2,toi19_explorer,,https://github.com/krist7599555/toi/assets/19445033/1c1e7a55-a123-4f21-8a60-cfc0eac008a3
toi19,1,3,toi19_jewelry,,https://github.com/krist7599555/toi/assets/19445033/95ccb6f3-3f7f-47d0-b003-390ce1b5a8d0
toi19,2,1,toi19_energy,,https://github.com/krist7599555/toi/assets/19445033/1940644a-8b27-4212-9c61-8190b575be78
toi19,2,2,toi19_phitsanulok,,https://github.com/krist7599555/toi/assets/19445033/960f2a15-2f6d-4ee2-9dbc-06889ea5245c
toi19,2,3,toi19_range,,https://github.com/krist7599555/toi/assets/19445033/84d7f1c6-da5e-47ca-a795-7161b801600e
